Sample	QualiMap_mqc-generalstats-general_error_rate	QualiMap_mqc-generalstats-percentage_aligned	QualiMap_mqc-generalstats-10_x_pc	QualiMap_mqc-generalstats-median_coverage	QualiMap_mqc-generalstats-30_x_pc	QualiMap_mqc-generalstats-median_insert_size	QualiMap_mqc-generalstats-mapped_reads	QualiMap_mqc-generalstats-50_x_pc	QualiMap_mqc-generalstats-1_x_pc	QualiMap_mqc-generalstats-total_reads	QualiMap_mqc-generalstats-avg_gc	QualiMap_mqc-generalstats-5_x_pc
BRB288_S7_L001	0.51	99.5505896004	0.405169927157	0	0.362848793348	225	1190858.0	0.335627068528	0.557728405926	1196234.0	47.7894445236	0.42668197217
BRB28_S8_L001	0.47	99.5767306247	0.40257091351	0	0.368282271356	200	1707254.0	0.347989362971	0.758162617794	1714511.0	47.3699108879	0.420810419998
BRB290_S24_L001	0.48	99.6508836057	0.408458313327	0	0.375801978524	190	2289779.0	0.359401930737	0.687452693367	2297801.0	46.6188871106	0.425401708915
BRB2_S1_L001	0.42	99.4709513687	0.369726670926	0	0.322021865991	191	801147.0	0.275134346706	0.568524047544	805408.0	44.0037100388	0.390225598686
BRB34_S13_L001	0.48	99.7705293419	0.397324211309	0	0.371159750751	159	2469582.0	0.356116940491	0.526942093138	2475262.0	45.9989740583	0.413096013201
BRB37_S9_L001	0.4	99.4940844523	0.36149381977	0	0.322351270595	134	942205.0	0.290808798784	0.585602148107	946996.0	43.9894922911	0.380269882211
BRB38_S4_L001	0.47	99.6688311779	0.376014789746	0	0.328662028906	201	713879.0	0.282139005438	0.48426325536	716251.0	44.9562217957	0.397318551436
BRB39_S5_L001	0.4	99.8058515412	0.393461914025	0	0.36093349235	175	1540153.0	0.341980841873	0.53788941935	1543149.0	45.7886933297	0.409796307286
BRB3_S1_L001	0.44	99.7035731364	0.379108476287	0	0.340968856595	183	890322.0	0.311088123474	0.495955420849	892969.0	45.6123680852	0.399391196901
BRB42_S6_L001	0.42	99.7466707039	0.378137242093	0	0.344138385433	164	1060744.0	0.321946023694	0.49270665379	1063438.0	45.122065882	0.393490213389
BRB44_S10_L001	0.4	99.6377657357	0.371714418298	0	0.33069731921	168	956124.0	0.297704787956	0.608961575643	959600.0	44.2560468038	0.389385673544
